BULAN;TAHUN;PPH;PPN;PPHOP;PPHBDN
0;2011;;;31/03/2012;30/04/2012
1;2011;21/02/2011;28/02/2011;;
2;2011;21/03/2011;31/03/2011;;
3;2011;20/04/2011;02/05/2011;;
4;2011;20/05/2011;31/05/2011;;
5;2011;20/06/2011;30/06/2011;;
6;2011;20/07/2011;01/08/2011;;
7;2011;22/08/2011;05/09/2011;;
8;2011;20/09/2011;30/09/2011;;
9;2011;20/10/2011;31/10/2011;;
10;2011;21/11/2011;30/11/2011;;
11;2011;20/12/2011;03/01/2012;;
12;2011;20/01/2012;31/01/2012;;
0;2012;;;31/03/2013;30/04/2013
1;2012;20/02/2012;29/02/2012;;
2;2012;20/03/2012;02/04/2012;;
3;2012;20/04/2012;30/04/2012;;
4;2012;21/05/2012;31/05/2012;;
5;2012;20/06/2012;02/07/2012;;
6;2012;20/07/2012;31/07/2012;;
7;2012;23/08/2012;31/08/2012;;
8;2012;20/09/2012;01/10/2012;;
9;2012;22/10/2012;31/10/2012;;
10;2012;20/11/2012;30/11/2012;;
11;2012;20/12/2012;02/01/2013;;
12;2012;21/01/2013;31/01/2013;;
0;2013;;;31/03/2014;30/04/2014
1;2013;20/02/2013;28/02/2013;;
2;2013;20/03/2013;01/04/2013;;
3;2013;22/04/2013;30/04/2013;;
4;2013;20/05/2013;31/05/2013;;
5;2013;20/06/2013;01/07/2013;;
6;2013;22/07/2013;31/07/2013;;
7;2013;20/08/2013;02/09/2013;;
8;2013;20/09/2013;30/09/2013;;
9;2013;21/10/2013;31/10/2013;;
10;2013;20/11/2013;02/12/2013;;
11;2013;20/12/2013;31/12/2013;;
12;2013;20/01/2014;03/02/2014;;
0;2014;;;31/03/2015;30/04/2015
1;2014;20/02/2014;28/02/2014;;
2;2014;20/03/2014;01/04/2014;;
3;2014;21/04/2014;30/04/2014;;
4;2014;20/05/2014;02/06/2014;;
5;2014;20/06/2014;30/06/2014;;
6;2014;21/07/2014;04/08/2014;;
7;2014;20/08/2014;01/09/2014;;
8;2014;22/09/2014;30/09/2014;;
9;2014;20/10/2014;31/10/2014;;
10;2014;20/11/2014;01/12/2014;;
11;2014;22/12/2014;31/12/2014;;
12;2014;20/01/2015;02/02/2015;;
0;2015;;;31/03/2016;30/04/2016
1;2015;20/02/2015;02/03/2015;;
2;2015;20/03/2015;31/03/2015;;
3;2015;20/04/2015;30/04/2015;;
4;2015;20/05/2015;01/06/2015;;
5;2015;22/06/2015;30/06/2015;;
6;2015;22/07/2015;31/07/2015;;
7;2015;20/08/2015;31/08/2015;;
8;2015;21/09/2015;30/09/2015;;
9;2015;20/10/2015;02/11/2015;;
10;2015;20/11/2015;30/11/2015;;
11;2015;21/12/2015;31/12/2015;;
12;2015;20/01/2016;01/02/2016;;
0;2016;;;21/04/2017;30/04/2017
1;2016;22/02/2016;29/02/2016;;
2;2016;21/03/2016;31/03/2016;;
3;2016;20/04/2016;02/05/2016;;
4;2016;20/05/2016;31/05/2016;;
5;2016;20/06/2016;30/06/2016;;
6;2016;20/07/2016;01/08/2016;;
7;2016;22/08/2016;31/08/2016;;
8;2016;20/09/2016;30/09/2016;;
9;2016;20/10/2016;31/10/2016;;
10;2016;21/11/2016;30/11/2016;;
