KODE;NAMA;SEKTOR
20231;INDUSTRI SABUN DAN BAHAN PEMBERSIH KEPERLUAN RUMAH TANGGA;C
20232;INDUSTRI BAHAN KOSMETIK DAN KOSMETIK, TERMASUK PASTA GIGI;C
20291;INDUSTRI PEREKAT/LEM;C
20292;INDUSTRI BAHAN PELEDAK;C
20293;INDUSTRI TINTA;C
20294;INDUSTRI MINYAK ATSIRI;C
20295;INDUSTRI KOREK API;C
20299;INDUSTRI BARANG KIMIA LAINNYA YTDL;C
20301;INDUSTRI SERAT/BENANG/STRIP FILAMEN BUATAN;C
20302;INDUSTRI SERAT STAPEL BUATAN;C
21011;INDUSTRI BAHAN FARMASI;C
21012;INDUSTRI PRODUK FARMASI;C
21021;INDUSTRI SIMPLISIA (BAHAN OBAT TRADISIONAL);C
21022;INDUSTRI PRODUK OBAT TRADISIONAL;C
22111;INDUSTRI BAN LUAR DAN BAN DALAM;C
22112;INDUSTRI VULKANISIR BAN;C
22121;INDUSTRI PENGASAPAN KARET;C
22122;INDUSTRI REMILLING KARET;C
22123;INDUSTRI KARET REMAH (CRUMB RUBBER);C
22191;INDUSTRI BARANG DARI KARET UNTUK KEPERLUAN RUMAH TANGGA;C
22192;INDUSTRI BARANG DARI KARET UNTUK KEPERLUAN INDUSTRI;C
22199;INDUSTRI BARANG DARI KARET LAINNYA YTDL;C
22210;INDUSTRI BARANG DARI PLASTIK UNTUK BANGUNAN;C
22220;INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN;C
22230;INDUSTRI PIPA PLASTIK DAN PERLENGKAPANNYA;C
22291;INDUSTRI BARANG PLASTIK LEMBARAN;C
22292;INDUSTRI PERLENGKAPAN DAN PERALATAN RUMAH TANGGA (TIDAK TERMASUK FURNITUR);C
22293;INDUSTRI BARANG DAN PERALATAN TEKNIK/INDUSTRI DARI PLASTIK;C
22299;INDUSTRI BARANG PLASTIK LAINNYA YTDL;C
23111;INDUSTRI KACA LEMBARAN;C
23112;INDUSTRI KACA PENGAMAN;C
23112;INDUSTRI KACA PENGAMAN;C
23119;INDUSTRI KACA LAINNYA;C
23121;INDUSTRI PERLENGKAPAN DAN PERALATAN RUMAH TANGGA DARI KACA;C
23122;INDUSTRI ALAT-ALAT LABORATORIUM, FARMASI DAN KESEHATAN DARI KACA;C
23123;INDUSTRI KEMASAN DARI KACA;C
23129;INDUSTRI BARANG LAINNYA DARI KACA;C
23911;INDUSTRI BATA, MORTAR DAN SEMEN TAHAN API;C
23919;INDUSTRI BARANG TAHAN API DARI TANAH LIAT/KERAMIK LAINNYA;C
23921;INDUSTRI BATU BATA DARI TANAH LIAT/KERAMIK;C
23922;INDUSTRI GENTENG DARI TANAH LIAT/KERAMIK;C
23923;INDUSTRI PERALATAN SANITER DARI PORSELEN;C
23929;INDUSTRI BAHAN BANGUNAN DARI TANAH LIAT/KERAMIK BUKAN BATU BATA DAN GENTENG;C
23931;INDUSTRI PERLENGKAPAN RUMAH TANGGA DARI PORSELEN;C
23932;INDUSTRI PERLENGKAPAN RUMAH TANGGA DARI TANAH LIAT/KERAMIK;C
23933;INDUSTRI ALAT LABORATORIUM DAN ALAT LISTRIK/TEKNIK DARI PORSELEN;C
23939;INDUSTRI BARANG TANAH LIAT/KERAMIK DAN PORSELEN LAINNYA BUKAN BAHAN BANGUNAN;C
23941;INDUSTRI SEMEN;C
23942;INDUSTRI KAPUR;C
23943;INDUSTRI GIPS;C
23951;INDUSTRI BARANG DARI SEMEN;C
23952;INDUSTRI BARANG DARI KAPUR;C
23953;INDUSTRI BARANG DARI SEMEN DAN KAPUR UNTUK KONSTRUKSI;C
23954;INDUSTRI BARANG DARI GIPS UNTUK KONSTRUKSI;C
23955;INDUSTRI BARANG DARI ASBES UNTUK KEPERLUAN BAHAN BANGUNAN;C
23956;INDUSTRI BARANG DARI ASBES UNTUK KEPERLUAN INDUSTRI;C
23957;INDUSTRI MORTAR ATAU BETON SIAP PAKAI;C
23959;INDUSTRI BARANG DARI SEMEN, KAPUR, GIPS DAN ASBES LAINNYA;C
23961;INDUSTRI BARANG DARI MARMER DAN GRANIT UNTUK KEPERLUAN RUMAH TANGGA DAN PAJANGAN;C
23962;INDUSTRI BARANG DARI MARMER DAN GRANIT UNTUK KEPERLUAN BAHAN BANGUNAN;C
23963;INDUSTRI BARANG DARI BATU UNTUK KEPERLUAN RUMAH TANGGA DAN PAJANGAN;C
23969;INDUSTRI BARANG DARI MARMER, GRANIT DAN BATU LAINNYA;C
23990;INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA YTDL;C
24101;INDUSTRI BESI DAN BAJA DASAR (IRON AND STEEL MAKING);C
24102;INDUSTRI PENGGILINGAN BAJA (STEEL ROLLING);C
24103;INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI;C
24201;INDUSTRI PEMBUATAN LOGAM DASAR MULIA;C
24202;INDUSTRI PEMBUATAN LOGAM DASAR BUKAN BESI;C
24203;INDUSTRI PENGGILINGAN LOGAM BUKAN BESI;C
24204;INDUSTRI EKSTRUSI LOGAM BUKAN BESI;C
24205;INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI LOGAM BUKAN BESI DAN BAJA;C
24206;INDUSTRI PENGOLAHAN URANIUM DAN BIJIH URANIUM;C
24310;INDUSTRI PENGECORAN BESI DAN BAJA;C
24320;INDUSTRI PENGECORAN LOGAM BUKAN BESI DAN BAJA;C
25111;INDUSTRI BARANG DARI LOGAM BUKAN ALUMINIUM SIAP PASANG UNTUK BANGUNAN;C
25112;INDUSTRI BARANG DARI LOGAM ALUMINIUM SIAP PASANG UNTUK BANGUNAN;C
25113;INDUSTRI KONSTRUKSI BERAT SIAP PASANG DARI BAJA UNTUK BANGUNAN;C
25119;INDUSTRI BARANG DARI LOGAM SIAP PASANG UNTUK KONSTRUKSI LAINNYA;C
25120;INDUSTRI TANGKI, TANDON AIR DAN WADAH DARI LOGAM;C
25130;INDUSTRI GENERATOR UAP, BUKAN KETEL PEMANAS;C
25200;INDUSTRI SENJATA DAN AMUNISI;C
25910;"INDUSTRI PENEMPAAN, PENGEPRESAN, PENCETAKAN DAN PEMBENTUKAN LOGAM; METALURGI BUBUK";C
25920;JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM;C
25931;INDUSTRI ALAT POTONG DAN PERKAKAS TANGAN UNTUK PERTANIAN;C
25932;INDUSTRI ALAT POTONG DAN PERKAKAS TANGAN PERTUKANGAN;C
25933;INDUSTRI ALAT POTONG DAN PERKAKAS TANGAN YANG DIGUNAKAN DALAM RUMAH TANGGA;C
25934;INDUSTRI PERALATAN UMUM;C
25940;INDUSTRI EMBER, KALENG, DRUM DAN WADAH SEJENIS DARI LOGAM;C
25951;INDUSTRI BARANG DARI KAWAT;C
25952;INDUSTRI PAKU, MUR DAN BAUT;C
25991;INDUSTRI BRANKAS, FILLING KANTOR DAN SEJENISNYA;C
25992;INDUSTRI PERALATAN DAPUR DAN PERALATAN MEJA DARI LOGAM;C
25993;INDUSTRI KEPERLUAN RUMAH TANGGA DARI LOGAM BUKAN PERALATAN DAPUR DAN PERALATAN MEJA;C
25994;INDUSTRI PEMBUATAN PROFIL;C
25995;INDUSTRI LAMPU DARI LOGAM;C
25999;INDUSTRI BARANG LOGAM LAINNYA YTDL;C
26110;INDUSTRI TABUNG ELEKTRON DAN KONEKTOR ELEKTRONIK;C
26120;INDUSTRI SEMI KONDUKTOR DAN KOMPONEN ELEKTRONIK LAINNYA;C
26210;INDUSTRI KOMPUTER DAN/ATAU PERAKITAN KOMPUTER;C
26220;INDUSTRI PERLENGKAPAN KOMPUTER;C
26310;INDUSTRI PERALATAN TELEPON DAN FAKSIMILI;C
26320;INDUSTRI PERALATAN KOMUNIKASI TANPA KABEL (WIRELESS);C
26390;INDUSTRI PERALATAN KOMUNIKASI LAINNYA;C
26410;INDUSTRI TELEVISI DAN/ATAU PERAKITAN TELEVISI;C
26420;INDUSTRI PERALATAN PEREKAM, PENERIMA DAN PENGGANDA AUDIO DAN VIDEO, BUKAN INDUSTRI TELEVISI;C
26490;INDUSTRI PERALATAN AUDIO DAN VIDEO ELEKTRONIK LAINNYA;C
26511;INDUSTRI ALAT UKUR DAN ALAT UJI MANUAL;C
26512;INDUSTRI ALAT UKUR DAN ALAT UJI ELEKTRIK;C
26513;INDUSTRI ALAT UKUR DAN ALAT UJI ELEKTRONIK;C
26514;INDUSTRI ALAT UJI DALAM PROSES INDUSTRI;C
26520;INDUSTRI ALAT UKUR WAKTU;C
26601;INDUSTRI PERALATAN IRADIASI/SINAR X, PERLENGKAPAN DAN SEJENISNYA;C
26602;INDUSTRI PERALATAN ELEKTROMEDIKAL DAN ELEKTROTERAPI;C
26710;INDUSTRI PERALATAN FOTOGRAFI;C
26791;INDUSTRI KAMERA CINEMATOGRAFI PROYEKTOR DAN PERLENGKAPANNYA;C
26792;INDUSTRI TEROPONG DAN INSTRUMEN OPTIK BUKAN KACA MATA;C
26800;INDUSTRI MEDIA MAGNETIK DAN MEDIA OPTIK;C
27111;INDUSTRI MOTOR LISTRIK;C
27112;INDUSTRI MESIN PEMBANGKIT LISTRIK;C
27113;INDUSTRI PENGUBAH TEGANGAN (TRANSFORMATOR), PENGUBAH ARUS (RECTIFIER) DAN;C
27120;INDUSTRI PERALATAN PENGONTROL DAN PENDISTRIBUSIAN LISTRIK;C
27201;INDUSTRI BATU BATERAI KERING (BATU BATERAI PRIMER);C
27202;INDUSTRI AKUMULATOR LISTRIK (BATU BATERAI SEKUNDER);C
27310;INDUSTRI KABEL SERAT OPTIK;C
27320;INDUSTRI KABEL LISTRIK DAN ELEKTRONIK LAINNYA;C
27330;INDUSTRI PERLENGKAPAN KABEL;C
27401;INDUSTRI BOLA LAMPU PIJAR, LAMPU PENERANGAN TERPUSAT DAN LAMPU ULTRA VIOLET;C
27402;INDUSTRI LAMPU TABUNG GAS (LAMPU PEMBUANG LISTRIK);C
27403;INDUSTRI PERALATAN PENERANGAN UNTUK ALAT TRANSPORTASI;C
27409;INDUSTRI PERALATAN PENERANGAN LAINNYA;C
27510;INDUSTRI PERALATAN LISTRIK RUMAH TANGGA;C
27520;INDUSTRI PERALATAN ELEKTROTERMAL RUMAH TANGGA;C
27530;INDUSTRI PERALATAN PEMANAS DAN MASAK BUKAN LISTRIK RUMAH TANGGA;C
27900;INDUSTRI PERALATAN LISTRIK LAINNYA;C
28111;INDUSTRI MESIN UAP, TURBIN DAN KINCIR;C
28112;INDUSTRI MOTOR PEMBAKARAN DALAM;C
28113;INDUSTRI KOMPONEN DAN SUKU CADANG MESIN DAN TURBIN;C
28120;INDUSTRI PERALATAN TENAGA ZAT CAIR DAN GAS;C
28130;INDUSTRI POMPA LAINNYA, KOMPRESOR, KRAN DAN KLEP/KATUP;C
28140;INDUSTRI BEARING, RODA GIGI DAN ELEMEN PENGGERAK MESIN;C
28151;INDUSTRI INDUSTRI OVEN, PERAPIAN DAN TUNGKUPEMBAKAR SEJENIS YANG TIDAK MENGGUNAKAN ARUS LISTRIK;C
28152;INDUSTRI OVEN, PERAPIAN DAN TUNGKU PEMBAKAR SEJENIS YANG MENGGUNAKAN ARUS LISTRIK;C
28160;INDUSTRI ALAT PENGANGKAT DAN PEMINDAH;C
28171;INDUSTRI MESIN KANTOR DAN AKUNTANSI MANUAL;C
28172;INDUSTRI MESIN KANTOR DAN AKUNTANSI ELEKTRIK;C
28173;INDUSTRI MESIN KANTOR DAN AKUNTANSI ELEKTRONIK;C
28174;INDUSTRI MESIN FOTOCOPI;C
28179;INDUSTRI MESIN DAN PERALATAN KANTOR LAINNYA;C
28180;INDUSTRI PERKAKAS TANGAN YANG DIGERAKKAN TENAGA;C
28191;INDUSTRI MESIN UNTUK PEMBUNGKUS, PEMBOTOLAN DAN PENGALENGAN;C
28192;INDUSTRI MESIN TIMBANGAN;C
28193;INDUSTRI MESIN PENDINGIN;C
28199;INDUSTRI MESIN UNTUK KEPERLUAN UMUM LAINNYA YTDL;C
28210;INDUSTRI MESIN PERTANIAN DAN KEHUTANAN;C
28221;INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN LOGAM;C
28222;INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN KAYU;C
28223;INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN BAHAN BUKAN LOGAM DAN KAYU;C
28224;INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGELASAN YANG MENGGUNAKAN ARUS LISTRIK;C
28230;INDUSTRI MESIN METALURGI;C
28240;INDUSTRI MESIN PENAMBANGAN, PENGGALIAN DAN KONSTRUKSI;C
28250;INDUSTRI MESIN PENGOLAHAN MAKANAN, MINUMAN DAN TEMBAKAU;C
28261;INDUSTRI KABINET MESIN JAHIT;C
28262;INDUSTRI MESIN JAHIT SERTA MESIN CUCI DAN MESIN PENGERING UNTUK KEPERLUAN NIAGA;C
28263;INDUSTRI MESIN TEKSTIL;C
28264;INDUSTRI JARUM MESIN JAHIT, RAJUT, BORDIR DAN SEJENISNYA;C
28265;INDUSTRI MESIN PENYIAPAN DAN PEMBUATAN PRODUK KULIT;C
28291;INDUSTRI MESIN PERCETAKAN;C
28292;INDUSTRI MESIN PABRIK KERTAS;C
28299;INDUSTRI MESIN KEPERLUAN KHUSUS LAINNYA YTDL;C
29100;INDUSTRI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH;C
29200;INDUSTRI KAROSERI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH DAN INDUSTRI TRAILER DAN SEMI TRAILER;C
29300;INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH;C
30111;INDUSTRI KAPAL DAN PERAHU;C
30112;INDUSTRI BANGUNAN LEPAS PANTAI DAN BANGUNAN TERAPUNG;C
30113;INDUSTRI PERALATAN, PERLENGKAPAN DAN BAGIAN KAPAL;C
30120;INDUSTRI PEMBUATAN KAPAL PESIAR DAN PERAHU UNTUK OLAHRAGA;C
30200;INDUSTRI LOKOMOTIF DAN GERBONG KERETA;C
30300;INDUSTRI PESAWAT TERBANG DAN PERLENGKAPANNYA;C
30400;INDUSTRI KENDARAAN PERANG;C
30911;INDUSTRI SEPEDA MOTOR RODA DUA DAN TIGA;C
30912;INDUSTRI KOMPONEN DAN PERLENGKAPAN SEPEDA MOTOR RODA DUA DAN TIGA;C
30921;INDUSTRI SEPEDA DAN KURSI RODA TERMASUK BECAK;C
30922;INDUSTRI PERLENGKAPAN SEPEDA DAN KURSI RODA TERMASUK BECAK;C
30990;INDUSTRI ALAT ANGKUTAN LAINNYA YTDL;C
31001;INDUSTRI FURNITUR DARI KAYU;C
31002;INDUSTRI FURNITUR DARI ROTAN DAN ATAU BAMBU;C
31003;INDUSTRI FURNITUR DARI PLASTIK;C
31004;INDUSTRI FURNITUR DARI LOGAM;C
31009;INDUSTRI FURNITUR LAINNYA;C
32111;INDUSTRI PERMATA;C
32112;INDUSTRI BARANG PERHIASAN DARI LOGAM MULIA UNTUK KEPERLUAN PRIBADI;C
32113;INDUSTRI BARANG PERHIASAN DARI LOGAM MULIA BUKAN UNTUK KEPERLUAN PRIBADI;C
32114;INDUSTRI BARANG DARI LOGAM MULIA UNTUK KEPERLUAN TEKNIK DAN ATAU LABORATORIUM;C
32115;INDUSTRI PERHIASAN MUTIARA;C
32119;INDUSTRI BARANG LAINNYA DARI LOGAM MULIA;C
32120;INDUSTRI PERHIASAN IMITASI DAN BARANG SEJENIS;C
32201;INDUSTRI ALAT MUSIK TRADISIONAL;C
32202;INDUSTRI ALAT MUSIK BUKAN TRADISIONAL;C
32300;INDUSTRI ALAT OLAHRAGA;C
32401;INDUSTRI ALAT PERMAINAN;C
32402;INDUSTRI MAINAN ANAK-ANAK;C
32501;INDUSTRI FURNITUR UNTUK OPERASI, PERAWATAN KEDOKTERAN DAN KEDOKTERAN GIGI;C
32502;INDUSTRI PERALATAN KEDOKTERAN DAN KEDOKTERAN GIGI, PERLENGKAPAN ORTHOPAEDIC DAN PROSTHETIC;C
32503;INDUSTRI KACA MATA;C
32509;INDUSTRI PERALATAN KEDOKTERAN DAN KEDOKTERAN GIGI SERTA PERLENGKAPAN LAINNYA;C
32901;INDUSTRI ALAT TULIS DAN GAMBAR TERMASUK PERLENGKAPANNYA;C
32902;INDUSTRI PITA MESIN TULIS/GAMBAR;C
32903;INDUSTRI KERAJINAN YTDL;C
32904;INDUSTRI PERALATAN UNTUK PELINDUNG KESELAMATAN;C
32905;INDUSTRI DARI SABUT KELAPA;C
32909;INDUSTRI PENGOLAHAN LAINNYA YTDL;C
33111;JASA REPARASI PRODUK LOGAM SIAP PASANG UNTUK BANGUNAN, TANGKI, TANDON AIR DAN GENERATOR UAP;C
33112;JASA REPARASI PRODUK SENJATA DAN AMUNISI;C
33119;JASA REPARASI PRODUK LOGAM PABRIKASI LAINNYA;C
33121;JASA REPARASI MESIN UNTUK KEPERLUAN UMUM;C
33122;JASA REPARASI MESIN UNTUK KEPERLUAN KHUSUS;C
33131;JASA REPARASI ALAT UKUR, ALAT UJI DAN PERALATAN NAVIGASI DAN PENGONTROL;C
33132;JASA REPARASI PERALATAN IRRADIASI, ELEKTROMEDIS DAN ELEKTROTHERAPI;C
33133;JASA REPARASI PERALATAN FOTOGRAFI DAN OPTIK;C
33141;JASA REPARASI MOTOR LISTRIK, GENERATOR DAN TRANSFORMATOR;C
33142;JASA REPARASI BATERAI DAN AKUMULATOR LISTRIK;C
33149;JASA REPARASI PERALATAN LISTRIK LAINNYA;C
33151;JASA REPARASI KAPAL, PERAHU DAN BANGUNAN TERAPUNG;C
33152;JASA REPARASI LOKOMOTIF DAN GERBONG KERETA;C
33153;JASA REPARASI PESAWAT TERBANG;C
33159;JASA REPARASI ALAT ANGKUTAN LAINNYA, BUKAN KENDARAAN BERMOTOR;C
33190;JASA REPARASI PERALATAN LAINNYA;C
33200;JASA PEMASANGAN MESIN DAN PERALATAN INDUSTRI;C
35101;PEMBANGKITAN TENAGA LISTRIK;D
35102;TRANSMISI TENAGA LISTRIK;D
35103;DISTRIBUSI TENAGA LISTRIK;D
35104;JASA PENUNJANG KELISTRIKAN;D
35201;PENGADAAN GAS ALAM DAN BUATAN;D
35202;DISTRIBUSI GAS ALAM DAN BUATAN;D
35301;PENGADAAN UAP/AIR PANAS DAN UDARA DINGIN;D
35302;PRODUKSI ES;D
36001;PENAMPUNGAN, PENJERNIHAN DAN PENYALURAN AIR MINUM;E
36002;PENAMPUNGAN DAN PENYALURAN AIR BAKU;E
36003;JASA PENUNJANG PENGADAAN AIR;E
37000;PENGELOLAAN LIMBAH;E
38110;PENGUMPULAN SAMPAH YANG TIDAK BERBAHAYA;E
38120;PENGUMPULAN SAMPAH YANG BERBAHAYA;E
38211;PENGELOLAAN DAN PEMBUANGAN SAMPAH YANG TIDAK BERBAHAYA;E
38212;PRODUKSI KOMPOS SAMPAH ORGANIK;E
38220;PENGELOLAAN DAN PEMBUANGAN SAMPAH YANG BERBAHAYA;E
38301;DAUR ULANG BARANG LOGAM;E
38302;DAUR ULANG BARANG BUKAN LOGAM;E
38303;PEMOTONGAN KAPAL (SHIP BREAKING);E
39000;JASA PEMBERSIHAN DAN PENGELOLAAN SAMPAH LAINNYA;E
41011;KONSTRUKSI GEDUNG TEMPAT TINGGAL;F
41012;KONSTRUKSI GEDUNG PERKANTORAN;F
41013;KONSTRUKSI GEDUNG INDUSTRI;F
41014;KONSTRUKSI GEDUNG PERBELANJAAN;F
41015;KONSTRUKSI GEDUNG KESEHATAN;F
41016;KONSTRUKSI GEDUNG PENDIDIKAN;F
41017;KONSTRUKSI GEDUNG PENGINAPAN;F
41018;KONSTRUKSI GEDUNG TEMPAT HIBURAN;F
41019;KONSTRUKSI GEDUNG LAINNYA;F
41020;PEMASANGAN BANGUNAN KONSTRUKSI PRAFABRIKASI UNTUK KONSTRUKSI GEDUNG;F
42111;KONSTRUKSI JALAN RAYA;F
42112;KONSTRUKSI JEMBATAN DAN JALAN LAYANG;F
42113;KONSTRUKSI LANDASAN PACU PESAWAT TERBANG;F
42114;KONSTRUKSI JALAN KERETA API DAN JEMBATAN KERETA API;F
42115;KONSTRUKSI TEROWONGAN;F
42120;PEMASANGAN BANGUNAN KONSTRUKSI PRAFABRIKASI UNTUK KONSTRUKSI JALAN DAN REL KERETA API;F
42211;KONSTRUKSI JARINGAN SALURAN IRIGASI;F
42212;KONSTRUKSI BANGUNAN PENGOLAHAN, PENYALURAN DAN PENAMPUNGAN AIR MINUM, AIR LIMBAH DAN DRAINASE;F
42213;KONSTRUKSI BANGUNAN ELEKTRIKAL;F
42214;KONSTRUKSI TELEKOMUNIKASI SARANA BANTU NAVIGASI LAUT DAN RAMBU SUNGAI;F
42215;KONSTRUKSI TELEKOMUNIKASI NAVIGASI UDARA;F
42216;KONSTRUKSI SINYAL DAN TELEKOMUNIKASI KERETA API;F
42217;KONSTRUKSI SENTRAL TELEKOMUNIKASI;F
42218;PEMBUATAN/PENGEBORAN SUMUR AIR TANAH;F
42219;KONSTRUKSI JARINGAN SALURAN ELEKTRIKAL DAN TELEKOMUNIKASI LAINNYA;F
42220;PEMASANGAN BANGUNAN KONSTRUKSI PRAFABRIKASI UNTUK KONSTRUKSI JARINGAN SALURAN IRIGASI, KOMUNIKASI DAN LIMBAH;F
42911;KONSTRUKSI BANGUNAN PRASARANA SUMBER DAYA AIR;F
42912;KONSTRUKSI BANGUNAN PELABUHAN BUKAN PERIKANAN;F
42913;KONSTRUKSI BANGUNAN PELABUHAN PERIKANAN;F
42914;KONSTRUKSI BANGUNAN PENGOLAHAN DAN PENAMPUNGAN BARANG MINYAK DAN GAS;F
42915;PENGERUKAN;F
42919;KONSTRUKSI BANGUNAN SIPIL LAINNYA YTDL;F
42920;PEMASANGAN BANGUNAN KONSTRUKSI PRAFABRIKASI UNTUK KONSTRUKSI BANGUNAN SIPIL LAINNYA;F
43110;PEMBONGKARAN;F
43120;PENYIAPAN LAHAN;F
43211;INSTALASI LISTRIK;F
43212;INSTALASI TELEKOMUNIKASI;F
43213;INSTALASI NAVIGASI LAUT DAN SUNGAI;F
43214;INSTALASI NAVIGASI UDARA;F
43215;INSTALASI SINYAL DAN TELEKOMUNIKASI KERETA API;F
43216;INSTALASI SINYAL DAN RAMBU-RAMBU JALAN RAYA;F
43217;INSTALASI ELEKTRONIKA;F
43221;INSTALASI AIR (PIPA);F
43222;INSTALASI PEMANAS DAN GEOTERMAL;F
43223;INSTALASI MINYAK DAN GAS;F
43224;INSTALASI PENDINGIN DAN VENTILASI UDARA;F
43291;INSTALASI MEKANIKAL;F
43292;INSTALASI METEOROLOGI, KLIMATOLOGI DAN GEOFISIKA;F
43299;INSTALASI KONSTRUKSI LAINNYA YTDL;F
43301;PENGERJAAN PEMASANGAN KACA DAN ALUMUNIUM;F
43302;PENGERJAAN LANTAI, DINDING, PERALATAN SANITER DAN PLAFON;F
43303;PENGECATAN;F
43304;DEKORASI INTERIOR;F
43305;DEKORASI EKSTERIOR;F
43309;PENYELESAIAN KONSTRUKSI BANGUNAN LAINNYA;F
43901;PEMASANGAN PONDASI DAN PILAR;F
43902;PEMASANGAN PERANCAH (STEIGER);F
43903;PEMASANGAN ATAP/ROOF COVERING;F
43904;PEMASANGAN KERANGKA BAJA;F
43905;PENYEWAAN ALAT KONSTRUKSI DENGAN OPERATOR;F
43909;KONSTRUKSI KHUSUS LAINNYA YTDL;F
45101;PERDAGANGAN BESAR MOBIL BARU;G
45102;PERDAGANGAN BESAR MOBIL BEKAS;G
45103;PERDAGANGAN ECERAN MOBIL BARU;G
45104;PERDAGANGAN ECERAN MOBIL BEKAS;G
45201;REPARASI MOBIL;G
45202;PENCUCIAN DAN SALON MOBIL;G
45301;PERDAGANGAN BESAR SUKU CADANG DAN AKSESORI MOBIL;G
45302;PERDAGANGAN ECERAN SUKU CADANG DAN AKSESORI MOBIL;G
45401;PERDAGANGAN BESAR SEPEDA MOTOR BARU;G
45402;PERDAGANGAN BESAR SEPEDA MOTOR BEKAS;G
45403;PERDAGANGAN ECERAN SEPEDA MOTOR BARU;G
45404;PERDAGANGAN ECERAN SEPEDA MOTOR BEKAS;G
45405;PERDAGANGAN BESAR SUKU CADANG SEPEDA MOTOR DAN AKSESORINYA;G
45406;PERDAGANGAN ECERAN SUKU CADANG SEPEDA MOTOR DAN AKSESORINYA;G
45407;REPARASI DAN PERAWATAN SEPEDA MOTOR;G
46100;PERDAGANGAN BESAR ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK;G
46201;PERDAGANGAN BESAR PADI DAN PALAWIJA;G
46202;PERDAGANGAN BESAR BUAH YANG MENGANDUNG MINYAK;G
46203;PERDAGANGAN BESAR BUNGA DAN TUMBUHAN;G
46204;PERDAGANGAN BESAR TEMBAKAU RAJANGAN;G
46205;PERDAGANGAN BESAR BINATANG HIDUP;G
46206;PERDAGANGAN BESAR HASIL PERIKANAN;G
46207;PERDAGANGAN BESAR HASIL KEHUTANAN DAN PERBURUAN;G
46208;PERDAGANGAN BESAR KULIT DAN KULIT JANGAT;G
46209;PERDAGANGAN BESAR HASIL PERTANIAN DAN HEWAN HIDUP LAINNYA;G
46311;PERDAGANGAN BESAR BERAS;G
46312;PERDAGANGAN BESAR BUAH-BUAHAN;G
46313;PERDAGANGAN BESAR SAYURAN;G
46314;PERDAGANGAN BESAR KOPI, TEH DAN KAKAO;G
46315;PERDAGANGAN BESAR MINYAK DAN LEMAK NABATI;G
46319;PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PERTANIAN LAINNYA;G
46321;PERDAGANGAN BESAR DAGING SAPI DAN DAGING SAPI OLAHAN;G
46322;PERDAGANGAN BESAR DAGING AYAM DAN DAGING AYAM OLAHAN;G
46323;PERDAGANGAN BESAR DAGING DAN DAGING OLAHAN LAINNYA;G
46324;PERDAGANGAN BESAR HASIL OLAHAN PERIKANAN;G
46325;PERDAGANGAN BESAR TELUR DAN HASIL OLAHAN TELUR;G
46326;PERDAGANGAN BESAR SUSU DAN PRODUK SUSU;G
46327;PERDAGANGAN BESAR MINYAK DAN LEMAK HEWANI;G
46331;PERDAGANGAN BESAR GULA, COKLAT DAN KEMBANG GULA;G
46332;PERDAGANGAN BESAR PRODUK ROTI;G
46333;PERDAGANGAN BESAR MINUMAN BERALKOHOL;G
46334;PERDAGANGAN BESAR MINUMAN NON ALKOHOL BUKAN SUSU;G
46335;PERDAGANGAN BESAR ROKOK DAN TEMBAKAU;G
46339;PERDAGANGAN BESAR MAKANAN DAN MINUMAN LAINNYA;G
46411;PERDAGANGAN BESAR TEKSTIL;G
46412;PERDAGANGAN BESAR PAKAIAN;G
46413;PERDAGANGAN BESAR ALAS KAKI;G
46414;PERDAGANGAN BESAR BARANG LAINNYA DARI TEKSTIL;G
46419;PERDAGANGAN BESAR TEKSTIL, PAKAIAN DAN ALAS KAKI LAINNYA;G
46421;PERDAGANGAN BESAR ALAT TULIS DAN GAMBAR;G
46422;PERDAGANGAN BESAR BARANG PERCETAKAN DAN PENERBITAN DALAM BERBAGAI BENTUK;G
46430;PERDAGANGAN BESAR ALAT FOROGRAFI DAN BARANG OPTIK;G
46491;PERDAGANGAN BESAR PERALATAN DAN PERLENGKAPAN RUMAH TANGGA;G
46492;PERDAGANGAN BESAR FARMASI;G
46493;PERDAGANGAN BESAR OBAT TRADISIONAL;G
46494;PERDAGANGAN BESAR KOSMETIK;G
46495;PERDAGANGAN BESAR ALAT OLAHRAGA;G
46496;PERDAGANGAN BESAR ALAT MUSIK;G
46497;PERDAGANGAN BESAR PERHIASAN DAN JAM;G
