KODE;NAMA;SEKTOR
02133;PENGUSAHAAN DAUN KAYU PUTIH;A
02134;PENGUSAHAAN BAMBU;A
02135;PENGUSAHAAN DAMAR;A
02136;PENGUSAHAAN GAHARU;A
02139;PENGUSAHAAN HUTAN BUKAN KAYU LAINNYA;A
02201;PENEBANGAN KAYU;A
02202;USAHA PEMUNGUTAN KAYU;A
02209;USAHA KEHUTANAN LAINNYA;A
02301;PEMUNGUTAN GETAH KARET;A
02302;PEMUNGUTAN ROTAN;A
02303;PEMUNGUTAN GETAH PINUS;A
02304;PEMUNGUTAN DAUN KAYU PUTIH;A
02305;PEMUNGUTAN KOKON/KEPOMPONG ULAT SUTERA;A
02306;PEMUNGUTAN DAMAR;A
02307;PEMUNGUTAN MADU;A
02308;PEMUNGUTAN BAMBU;A
02309;PEMUNGUTAN BUKAN KAYU LAINNYA;A
02401;JASA KEHUTANAN BIDANG PENGGUNAAN KAWASAN HUTAN;A
02402;JASA KEHUTANAN BIDANG PERLINDUNGAN HUTAN DAN KONSERVASI ALAM;A
02403;JASA KEHUTANAN BIDANG REHABILITASI LAHAN DAN KEHUTANAN SOSIAL;A
02409;JASA PENUNJANG KEHUTANAN LAINNYA;A
03111;PENANGKAPAN PISCES/IKAN BERSIRIP DI LAUT;A
03112;PENANGKAPAN CRUSTACEA DI LAUT;A
03113;PENANGKAPAN MOLLUSCA DI LAUT;A
03114;PENANGKAPAN/PENGAMBILAN ALGAE (TUMBUHAN) DI LAUT;A
03115;PENANGKAPAN/PENGAMBILAN BENIH IKAN LAUT;A
03116;PENANGKAPAN ECHINODERMATA DI LAUT;A
03117;PENANGKAPAN COELENTERATA DI LAUT;A
03118;PENANGKAPAN IKAN HIAS LAUT;A
03119;PENANGKAPAN BIOTA AIR LAINNYA DI LAUT;A
03121;PENANGKAPAN PISCES/IKAN BERSIRIP DI PERAIRAN UMUM;A
03122;PENANGKAPAN CRUSTACEA DI PERAIRAN UMUM;A
03123;PENANGKAPAN MOLLUSCA DI PERAIRAN UMUM;A
03124;PENANGKAPAN/PENGAMBILAN ALGAE DI PERAIRAN UMUM;A
03125;PENANGKAPAN/PENGAMBILAN INDUK/BENIH IKAN DI PERAIRAN UMUM;A
03129;PENANGKAPAN BIOTA AIR LAINNYA DI PERAIRAN UMUM;A
03131;JASA SARANA PRODUKSI PENANGKAPAN IKAN DI LAUT;A
03132;JASA PRODUKSI PENANGKAPAN IKAN DI LAUT;A
03133;JASA PASCA PANEN PENANGKAPAN IKAN DI LAUT;A
03141;JASA SARANA PRODUKSI PENANGKAPAN IKAN DI PERAIRAN UMUM;A
03142;JASA PRODUKSI PENANGKAPAN IKAN DI PERAIRAN UMUM;A
03143;JASA PASCA PANEN PENANGKAPAN IKAN DI PERAIRAN UMUM;A
03211;PEMBESARAN IKAN LAUT;A
03212;PEMBENIHAN IKAN LAUT;A
03213;BUDIDAYA IKAN HIAS LAUT;A
03214;BUDIDAYA KARANG (CORAL);A
03221;PEMBESAR IKAN AIR TAWAR DI KOLAM;A
03222;BUDIDAYA IKAN AIR TAWAR DI KARAMBA JARING APUNG;A
03223;PEMBESARAN IKAN AIR TAWAR DI KARAMBA;A
03224;PEMBESARAN IKAN AIR TAWAR DI SAWAH;A
03225;BUDIDAYA IKAN HIAS AIR TAWAR;A
03226;PEMBENIHAN IKAN AIR TAWAR;A
03231;JASA SARANA PRODUKSI BUDIDAYA IKAN LAUT;A
03232;JASA PRODUKSI BUDIDAYA IKAN LAUT;A
03233;JASA PASCA PANEN BUDIDAYA IKAN LAUT;A
03241;JASA SARANA PRODUKSI BUDIDAYA IKAN DI AIR TAWAR;A
03242;JASA PRODUKSI BUDIDAYA IKAN DI AIR TAWAR;A
03243;JASA PASCA PANEN BUDIDAYA IKAN DI AIR TAWAR;A
03251;PEMBESARAN IKAN AIR PAYAU;A
03252;PEMBENIHAN IKAN AIR PAYAU;A
03261;JASA SARANA PRODUKSI BUDIDAYA IKAN AIR PAYAU;A
03262;JASA PRODUKSI BUDIDAYA IKAN AIR PAYAU;A
03263;JASA PASCA PANEN BUDIDAYA IKAN AIR PAYAU;A
05101;PERTAMBANGAN BATU BARA;B
